,bullfrog,bullfrog_vals,bullfrog_grad_cosine,albatross,albatross_vals,albatross_grad_cosine,orangutan,orangutan_vals,orangutan_grad_cosine,goose,goose_vals,goose_grad_cosine,vizsla,vizsla_vals,vizsla_grad_cosine,ice cream,ice cream_vals,ice cream_grad_cosine,rule,rule_vals,rule_grad_cosine,capuchin,capuchin_vals,capuchin_grad_cosine,cicada,cicada_vals,cicada_grad_cosine,bucket,bucket_vals,bucket_grad_cosine,cellular telephone,cellular telephone_vals,cellular telephone_grad_cosine,spoonbill,spoonbill_vals,spoonbill_grad_cosine,lawn mower,lawn mower_vals,lawn mower_grad_cosine,drum,drum_vals,drum_grad_cosine,coho,coho_vals,coho_grad_cosine,punching bag,punching bag_vals,punching bag_grad_cosine
0,frog,0.4453502,0.30923593,seagull,0.41973993,0.26095665,great ape,0.36087772,0.24271429,waterfowl,0.4052492,0.26518044,hunting dog,0.2600718,0.18463126,ice cream,0.53056854,0.34036848,measuring spoon,0.3827468,0.27428877,gibbon,0.41661125,0.2937823,neuropteran,0.3494809,0.21846017,crab buckets,0.5646883,0.3716093,smartphone,0.47994745,0.30286443,other flamingos,0.44547784,0.28479913,golf cart,0.3957306,0.2561182,drumming lesson,0.6152178,0.39585793,salmon,0.40958643,0.25927067,boxing glove,0.5130841,0.3013242
1,froglet,0.4207866,0.29217982,seagulls,0.39822727,0.24758199,gibbon,0.34635788,0.2329487,ducks,0.38830882,0.2540953,gallinule,0.22054392,0.15656945,dessert,0.47448805,0.30439192,eraser holder,0.37903678,0.27163005,ailurus fulgens,0.4052843,0.28579485,dragonfly larva,0.34864086,0.21793509,diaper pail,0.54175824,0.35651946,handset,0.46592912,0.29401836,wading bird,0.35463256,0.22672069,lawn,0.36800554,0.23817444,drum,0.5744986,0.36965746,cartilaginous fish,0.37585983,0.2379215,balloon,0.4757005,0.27936953
2,snapping turtle,0.35854065,0.24895835,seabird,0.35094738,0.21818759,monkey,0.3076516,0.20691618,swan,0.32841247,0.21490124,cattails,0.21370213,0.1517123,whipped cream,0.40458798,0.2595499,ruler,0.3607004,0.2584896,monkey,0.36575755,0.25792176,coleoptera,0.339218,0.21204485,bucket,0.49319324,0.3245599,phone,0.46519768,0.29355678,stork,0.29348242,0.18762669,other go-karts,0.35261708,0.22821498,drummer,0.5540574,0.35650468,fishing shirt,0.37442625,0.23701409,gas cylinder,0.4387549,0.25767207
3,toad,0.34654897,0.24063176,wading bird,0.27261814,0.1694895,ape,0.3065439,0.20617115,seagulls,0.32361227,0.21176016,hairless,0.2011984,0.1428356,edible heart,0.403968,0.25915214,tape measure,0.358882,0.2571865,marmoset colony,0.34688511,0.24461344,scarab,0.31841907,0.19904345,laundry basket,0.43568838,0.28671718,phone case,0.44804537,0.28273305,heron,0.28665242,0.18326019,tractor,0.34698853,0.22457215,drumhead,0.5176012,0.33304715,fishing myth,0.36178696,0.2290133,gym bag,0.433029,0.25430942
4,amphibian,0.30049068,0.20865047,waterfowl,0.27220535,0.16923288,sloth,0.3060676,0.20585082,duck,0.31527835,0.20630677,cinnamon,0.19758826,0.14027268,cake,0.36304048,0.23289645,thermometer,0.3516211,0.25198308,great ape,0.31901115,0.22495753,dragonfly nymph,0.31728357,0.19833368,wastebasket,0.40705693,0.26787543,memory card,0.43172452,0.272434,cranes,0.2616608,0.16728279,farm equipment,0.3403027,0.22024506,drumming book,0.5093785,0.3277563,fishing pants,0.35423058,0.22423008,helium,0.41208246,0.2420079
5,chelonian,0.268121,0.18617406,vultures,0.25755766,0.16012624,ailurus fulgens,0.29923666,0.20125656,ducklings,0.3029117,0.19821447,brown coat,0.18324584,0.13009064,waffle mix,0.35919142,0.23042724,measuring,0.349559,0.25050533,lemur colony,0.31117633,0.21943265,dragonfly wing,0.30145615,0.18843995,watering can,0.40062225,0.26364088,walkman,0.42957664,0.27107862,heronry,0.24852878,0.1588873,motorized vehicle,0.33562702,0.21721894,threshing drum,0.5075084,0.32655302,fish,0.32961208,0.20864643,inflatable,0.40928864,0.24036714
6,tadpole,0.2630189,0.18263133,avian anatomy,0.2552781,0.15870903,primate,0.29592657,0.1990303,gallinule,0.27623928,0.18076101,prairie dog,0.17856333,0.12676641,cream,0.34943214,0.22416648,stationery,0.3276382,0.2347962,koala sanctuary,0.31032735,0.21883398,monarch caterpillar,0.29975146,0.18737437,wastebin,0.3680661,0.2422164,card reader,0.40208766,0.25373206,wetlands,0.2458531,0.15717672,chain saw,0.3251734,0.21045333,cymbals,0.4550699,0.2928118,ray-finned fish,0.32448065,0.2053982,punching pad,0.38569084,0.22650862
7,swamp,0.21052995,0.1461848,stork,0.2551158,0.15860808,marmoset colony,0.28944016,0.19466777,seabird,0.2620076,0.1714483,red legs,0.17358501,0.123232186,chocolate fountain,0.34169614,0.21920368,calculator,0.31748176,0.22751774,primate,0.30631626,0.21600544,compound eyes,0.29519704,0.18452738,trashbarrel,0.36332956,0.23909938,keypad,0.37066245,0.23390159,wetland,0.23450889,0.14992423,forklifts,0.31497946,0.2038558,tambourine,0.4276512,0.2751694,fishing boots,0.3157642,0.19988063,lampshade,0.38194895,0.2243111
8,aquatic insect,0.20802015,0.14444208,heronry,0.25037402,0.1556601,squirrel nest,0.2532662,0.17033833,seagull,0.25967145,0.16991961,featherless head,0.17313518,0.12291284,breakfast food,0.3382771,0.21701032,measuring cups,0.3094306,0.22174802,mustelid,0.2876736,0.20285918,aquatic insect,0.29057455,0.18163788,cooking pot,0.35942662,0.23653096,audio player,0.36810938,0.23229049,avian anatomy,0.22215784,0.14202806,motorized,0.311832,0.20181872,barrel,0.4095392,0.26351535,marine fish,0.31293803,0.19809163,boxing ring,0.3813816,0.2239779
9,lily pad,0.20328036,0.14115092,swan,0.24870172,0.15462041,horse chestnut,0.25274628,0.16998869,avian anatomy,0.25452775,0.16655377,six legs,0.17059688,0.12111084,cakes,0.33754063,0.21653788,measurement,0.30644095,0.21960554,sloth,0.27544236,0.19423404,beetle wing,0.28884482,0.18055664,dustbin,0.35010207,0.23039466,mobile,0.35883096,0.22643548,waterfowl,0.21742377,0.13900152,lift truck,0.31179732,0.2017963,stool,0.37414473,0.24074101,fisherman,0.2994901,0.18957904,inflated,0.3799774,0.22315323
