,bullfrog,bullfrog_vals,bullfrog_grad_cosine,albatross,albatross_vals,albatross_grad_cosine,orangutan,orangutan_vals,orangutan_grad_cosine,goose,goose_vals,goose_grad_cosine,vizsla,vizsla_vals,vizsla_grad_cosine,ice cream,ice cream_vals,ice cream_grad_cosine,rule,rule_vals,rule_grad_cosine,capuchin,capuchin_vals,capuchin_grad_cosine,cicada,cicada_vals,cicada_grad_cosine,bucket,bucket_vals,bucket_grad_cosine,cellular telephone,cellular telephone_vals,cellular telephone_grad_cosine,spoonbill,spoonbill_vals,spoonbill_grad_cosine,lawn mower,lawn mower_vals,lawn mower_grad_cosine,drum,drum_vals,drum_grad_cosine,coho,coho_vals,coho_grad_cosine,punching bag,punching bag_vals,punching bag_grad_cosine
0,frog,0.36704448,0.30422735,seagull,0.26160908,0.23436472,great ape,0.26910722,0.22778532,waterfowl,0.33291614,0.2981732,hunting dog,0.16796984,0.14620239,ice cream,0.3773898,0.28717247,tape measure,0.3132724,0.25462234,monkey,0.3418954,0.29316214,swiss cuisine,0.2110151,0.16263223,bucket,0.36597484,0.25948885,smartphone,0.34099513,0.24445516,pastry,0.24801484,0.20441343,coffee scoop,0.28021693,0.20939225,drum,0.40993083,0.28160745,chair,0.2563647,0.18821028,boxing glove,0.25746658,0.1800996
1,froglet,0.33091688,0.27428278,seagulls,0.251135,0.2249814,ape,0.2251747,0.19059874,ducks,0.32107282,0.28756583,pointer,0.16574445,0.1442654,dessert,0.37014845,0.28166223,measuring,0.3091561,0.25127667,primate,0.26872978,0.23042545,meal,0.2084752,0.16067472,crab buckets,0.36263195,0.25711864,phone,0.33885276,0.24291927,other flamingos,0.23760942,0.19583732,golf cart,0.2736532,0.20448753,drummer,0.37708992,0.25904694,fishing cabin,0.21695194,0.15927538,boxing ring,0.22731987,0.15901175
2,amphibian,0.27395773,0.22707176,seabird,0.24104708,0.2159441,wallet,0.21143678,0.17897028,duck,0.3008317,0.26943704,cinnamon,0.16357934,0.14238088,cake,0.26827922,0.20414548,thermometer,0.3010911,0.24472165,gibbon,0.26292038,0.22544411,utensil,0.20712234,0.15963203,diaper pail,0.32623225,0.23131001,handset,0.3268935,0.23434585,swan,0.2155814,0.17768186,ladle,0.2661689,0.19889483,drumming lesson,0.3646683,0.25051376,salmon,0.21550688,0.15821451,gas cylinder,0.21956399,0.15358648
3,toad,0.27284998,0.22615355,ducks,0.21592464,0.19343793,primate,0.18482143,0.15644175,swan,0.27229065,0.24387458,hairless,0.16073035,0.13990107,cream,0.2655454,0.20206513,measurement,0.27618518,0.22447851,great ape,0.24591693,0.21086432,food,0.2057603,0.1585823,watering can,0.29698157,0.21057028,mobile,0.27088657,0.19419518,bakery,0.20094854,0.16562146,utensil,0.26590562,0.19869813,drumhead,0.32630497,0.22415957,stool,0.20525804,0.15069032,inflatable,0.20376526,0.14253515
4,tadpole,0.22996794,0.19061051,waterfowl,0.20298813,0.18184865,monkey,0.16672654,0.14112538,ducklings,0.2518897,0.22560263,wagging,0.15756297,0.13714416,whipped cream,0.25921676,0.19724941,ruler,0.263411,0.2140959,marmoset colony,0.23808384,0.20414776,savory dish,0.20356923,0.15689361,trashbarrel,0.28466225,0.20183542,phone case,0.2692273,0.19300565,bread,0.199372,0.16432208,motorized,0.26444668,0.1976079,drumming book,0.29803365,0.2047382,lure,0.19683573,0.14450705,decor,0.20113252,0.14069353
5,snapping turtle,0.21070945,0.17464799,duck,0.20054269,0.17965788,sloth,0.15344332,0.1298818,migratory bird,0.22429693,0.20088944,gallinule,0.15210068,0.13238975,edible heart,0.2509538,0.19096178,stationery,0.2575469,0.20932962,ape,0.2357811,0.20217323,coleoptera,0.19695178,0.15179347,wastebasket,0.27534607,0.19522992,portable,0.23791756,0.17056012,edible heart,0.18943608,0.1561329,stand mixer,0.25325722,0.1892466,drumstick,0.27959722,0.19207305,beach chair,0.19332978,0.14193316,gym,0.19594298,0.13706344
6,lily pad,0.18665493,0.15471023,swan,0.17882982,0.16020621,card,0.1501043,0.12705551,avian anatomy,0.2124998,0.19032344,mastiff,0.14609289,0.12716052,waffle mix,0.24408063,0.18573168,measurement markings,0.23381081,0.19003738,ailurus fulgens,0.21144792,0.18130848,hungarian dish,0.1958937,0.15097798,wastebin,0.2625993,0.186192,telephone,0.22526515,0.16148975,round bread,0.18725869,0.15433832,scoop,0.25267467,0.18881127,tambourine,0.26854342,0.18447948,table legs,0.18709508,0.13735595,lobster buoy,0.19543657,0.13670918
7,crocodile,0.16714531,0.13853955,migratory bird,0.17875797,0.16014183,gibbon,0.14931184,0.12638474,cranes,0.20355275,0.1823101,working dog,0.1323657,0.11521225,custard,0.23171985,0.17632583,eraser holder,0.23360844,0.18987289,lemur,0.20296991,0.1740389,silverware,0.18704125,0.14415526,pot,0.26100156,0.18505916,sandwich,0.2076509,0.14886232,seagulls,0.18530957,0.15273184,garden tool,0.2509759,0.1875419,cymbals,0.2636658,0.18112873,furniture,0.18656988,0.13697037,inflated,0.18786299,0.13141143
8,swamp,0.16536036,0.13706009,avian,0.17818315,0.15962687,pouch,0.14896336,0.12608977,seagulls,0.20177494,0.18071783,featherless head,0.12621611,0.1098596,breakfast food,0.23131095,0.17601466,measuring spoon,0.2233443,0.18153037,mustelid,0.18729442,0.16059777,tableware,0.18230343,0.14050373,cooking pot,0.26078284,0.18490407,audio player,0.20467457,0.14672862,avian anatomy,0.18186833,0.14989558,motorized vehicle,0.25050843,0.18719256,threshing drum,0.23737797,0.16306996,fishing pants,0.17810479,0.13075574,punching mitt,0.18762767,0.13124682
9,turtle,0.16451472,0.13635916,bird part,0.17204116,0.15412454,purse,0.14348766,0.12145489,avian,0.19488275,0.17454492,wild turkey,0.12429006,0.108183146,chocolate,0.22986282,0.17491272,rolling papers,0.21591492,0.17549193,lemur colony,0.1831409,0.15703627,plate,0.17766938,0.13693222,bin,0.2590006,0.18364042,finger,0.19341168,0.1386544,dough,0.18067956,0.1489158,farm equipment,0.24589108,0.18374223,frying pan,0.22780424,0.15649317,fish,0.17287308,0.12691486,concrete pillars,0.1840736,0.12876071
10,salamander,0.15976176,0.13241965,wading bird,0.17137095,0.15352413,ailurus fulgens,0.1374532,0.116347015,seabird,0.18364722,0.16448188,seal,0.12240447,0.10654189,cakes,0.22294772,0.1696507,hour markers,0.20994063,0.17063609,sloth,0.15363348,0.13173479,pie dish,0.17604455,0.13567998,trashbin,0.25670016,0.1820093,keypad,0.19249025,0.13799386,food,0.18039966,0.14868513,golf,0.244501,0.1827035,barrel,0.22537151,0.15482198,theater seat,0.1726988,0.12678692,balloon,0.18188608,0.12723054
11,pond,0.15932047,0.13205388,bird,0.16852236,0.15097219,sheet holder,0.13546911,0.11466758,bird part,0.18335137,0.16421692,canine,0.12069155,0.105050966,treat,0.22132531,0.16841616,hygrometer,0.20079389,0.1632018,bale,0.13739115,0.11780761,utensil holder,0.17421626,0.13427088,barrel,0.25621238,0.18166348,remote,0.18924016,0.13566388,stork,0.17906944,0.14758873,shovel,0.24300855,0.18158823,keg,0.22366972,0.1536529,seating,0.17266649,0.12676321,scuba tank,0.17738694,0.12408337
12,reptile,0.15738192,0.1304471,avian anatomy,0.16428961,0.14718026,gum,0.13441727,0.11377725,bird,0.17725307,0.15875503,cattails,0.11624608,0.10118159,food,0.21744435,0.16546294,calculator,0.1994558,0.16211423,monotreme,0.13458383,0.11540047,fork,0.17208216,0.1326261,grain bin,0.24974656,0.177079,device,0.18892449,0.13543758,cookies,0.17875145,0.14732668,other go-karts,0.24169265,0.18060495,crab buckets,0.21928428,0.15064026,armrests,0.1722915,0.12648791,post box,0.17514715,0.1225166
13,chelonian,0.15368252,0.12738082,vultures,0.1641179,0.14702642,notebook,0.13011447,0.11013515,crane,0.17560104,0.15727541,four corners,0.11623451,0.10117152,creamy,0.21580464,0.16421524,pencil,0.19907242,0.1618026,hornbill,0.13385987,0.11477969,chinese cuisine,0.17153579,0.13220501,cider,0.24602067,0.1744372,card reader,0.18637931,0.13361298,snack,0.17860234,0.14720374,machinery,0.23481882,0.17546847,band,0.21832535,0.14998151,pews,0.17194012,0.12622994,home decor,0.17300764,0.12101999
14,lizard,0.14466423,0.119905956,stork,0.15372005,0.1377114,bale,0.12891576,0.1091205,vultures,0.17442821,0.15622497,cumin,0.11610914,0.101062395,chocolatey,0.21573502,0.16416225,fingerboard,0.19872344,0.16151899,bear,0.1282616,0.10997939,chopped onion,0.16735357,0.1289817,dustbin,0.24356002,0.17269251,walkman,0.18009377,0.12910695,crab ring,0.17844556,0.14707455,spoon,0.23471773,0.17539293,stew,0.20527881,0.14101902,catch,0.16442952,0.12071602,china vases,0.17264701,0.12076774
15,slimy,0.13032472,0.10802055,ducklings,0.13718903,0.12290196,panels,0.12529202,0.1060532,wading bird,0.17419176,0.15601322,amber,0.11510523,0.10018858,confectionery,0.214527,0.16324301,crab gauge,0.18873376,0.15339953,conkers,0.12652212,0.108487874,shellfish,0.16458227,0.12684582,food bowl,0.23514238,0.1667241,loud calls,0.17728299,0.12709194,bird part,0.17807588,0.14676988,soup,0.2337403,0.17466256,cooking pot,0.20290998,0.1393917,dining area,0.16406709,0.120449975,balloon basket,0.17249371,0.12066051
16,earthstar shape,0.12382139,0.10263021,shorebird,0.13573506,0.12159942,makeup bag,0.12174322,0.103049316,seagull,0.17359139,0.1554755,competition,0.11431993,0.09950505,desert,0.21287759,0.16198792,decimal,0.18419816,0.14971307,avocado,0.12574804,0.107824124,arthropod,0.16304441,0.12566057,gas can,0.23205844,0.16453749,viewfinder,0.17681855,0.126759,sesame seeds,0.17239366,0.14208658,utensil holder,0.23148912,0.17298035,bucket,0.200677,0.13785774,establishment,0.16287443,0.11957435,outdoor fixture,0.17199393,0.120310895
17,alligator,0.119995534,0.099459134,flock,0.13376236,0.11983213,book accessory,0.112497985,0.09522372,shorebird,0.16674921,0.14934735,clapper,0.113737136,0.09899779,chocolate fountain,0.21063031,0.16027786,label holder,0.1838166,0.14940295,koala sanctuary,0.12400071,0.106325835,spoon rest,0.16298279,0.12561308,canister,0.22890748,0.16230336,distinctive call,0.17462896,0.12518932,yeast,0.17137367,0.1412459,kitchen tool,0.22793467,0.17032431,canister,0.19636378,0.13489471,height adjustable,0.16265808,0.11941552,gym bag,0.1718706,0.12022464
18,turtle nest,0.11906799,0.098690316,fluffy chicks,0.13183807,0.118108265,monotreme,0.110402554,0.09345005,wild turkey,0.16435666,0.14720449,honey,0.11308203,0.09842758,pastry,0.20977513,0.15962711,meter,0.17747849,0.14425145,avocado-based,0.12147453,0.10415973,plates,0.16296004,0.12559554,waterer,0.2269249,0.16089761,phone stand,0.17385116,0.12463171,breakfast food,0.17065266,0.14065164,plow,0.22777452,0.17020461,lobster pot,0.19502182,0.13397284,fishing camp,0.16224161,0.11910978,vase,0.17009923,0.11898556
19,gecko,0.11838861,0.098127216,penguin,0.1283758,0.11500656,zoo,0.11039317,0.09344208,other flamingos,0.1603696,0.14363351,lions,0.11274455,0.09813382,meal,0.19998074,0.15217413,fishing license.,0.1759057,0.1429731,squirrel,0.12118667,0.1039129,magnetic platter,0.16192253,0.12479591,tomato,0.22174084,0.15722194,memory card,0.16781116,0.12030171,avian,0.1655092,0.1364124,watering can,0.22259293,0.16633268,crab cooker,0.18918605,0.12996389,credence table,0.16119015,0.118337855,dumbbells,0.16764909,0.117271654
20,chameleon,0.11440286,0.094823614,heron,0.12542185,0.11236025,mane,0.10992143,0.09304279,wildlife,0.15481308,0.13865687,carp,0.11222148,0.09767854,candy dish,0.19601798,0.14915872,pen holder,0.17496255,0.14220655,cymbals,0.119871825,0.10278548,spatula,0.1614572,0.12443729,fruit,0.22159481,0.15711841,phone booth,0.16667923,0.11949026,dessert,0.164776,0.13580811,trowel,0.22031578,0.16463107,wooden bowl,0.18836223,0.12939796,seat,0.16099904,0.11819753,host/hostess stand,0.16750658,0.11717196
21,large eyes,0.11435415,0.09478323,foghorn,0.12074474,0.10817021,organizer,0.10822141,0.091603816,wetlands,0.15038684,0.13469256,ram,0.110274576,0.095983945,edible,0.19525145,0.14857541,cutting tool,0.17456892,0.14188662,rodent,0.11888227,0.101936966,mexican cuisine,0.16108501,0.12415043,conkers,0.21708584,0.15392141,pocket,0.16353624,0.11723707,hungarian dish,0.1640972,0.13524865,three-wheeler,0.21768051,0.16266188,ladle,0.18802145,0.12916383,lectern,0.15899938,0.1167295,dustbin,0.16461827,0.11515157
22,wetland,0.112678066,0.09339399,chick,0.1207439,0.10816945,napkins,0.10804349,0.091453224,gallinule,0.14916809,0.133601,capers,0.11025028,0.09596281,toppings,0.19408458,0.14768748,carving tools,0.17275527,0.14041248,owl,0.112256184,0.09625537,salad,0.16037247,0.12360127,lobster pot,0.21200614,0.1503197,gps device,0.16321334,0.1170056,waterfowl,0.1638159,0.1350168,cookware,0.21496296,0.16063118,pot,0.18220818,0.12517034,throne room,0.1559417,0.114484675,crab buckets,0.16355988,0.11441122
23,wetlands,0.11078179,0.09182225,feathered,0.11770618,0.10544808,envelope,0.10706928,0.0906286,webbed feet,0.14658958,0.13129158,nutmeg,0.109688975,0.09547421,swiss cuisine,0.1928314,0.14673388,hockey stick,0.17220795,0.13996765,nut,0.111761704,0.095831364,aquatic insect,0.15613852,0.12033811,worm bin,0.211983,0.1503033,roll,0.16077206,0.11525546,seagull,0.16325971,0.13455838,kitchenware,0.21456102,0.16033083,caribbean music,0.1802418,0.1238195,gills,0.15568708,0.11429776,lineout,0.16215116,0.113425836
24,moss,0.10785716,0.08939816,winged,0.11538818,0.10337147,binding,0.10628508,0.08996481,heron,0.14537193,0.130201,gunner,0.109081626,0.09494558,recipe,0.191015,0.14535171,pen,0.17080191,0.13882484,bearing,0.11007175,0.094382286,spoon,0.15608479,0.12029669,candy bowls,0.20936033,0.14844374,screen protector,0.1603376,0.11494401,toaster bagel,0.16263808,0.13404605,measuring spoon,0.21339752,0.15946141,paprika,0.17757368,0.12198661,carp,0.15439565,0.113349654,carport,0.16184829,0.11321397
25,gator hole,0.099793926,0.082714885,other flamingos,0.11463116,0.1026933,candy bags,0.10605227,0.089767754,chicken,0.14352903,0.12855043,pinniped,0.10728324,0.09338026,pie,0.18886688,0.14371711,measuring cups,0.16993535,0.1381205,heronry,0.10993395,0.094264135,chopped cilantro,0.15340039,0.118227795,rainwater,0.20816113,0.14759345,fossil,0.15900105,0.11398585,heron,0.16189137,0.13343063,tableware,0.21293817,0.15911816,lid,0.17707784,0.121645994,fishing vest,0.15394558,0.113019235,bonsai tree,0.16007784,0.11197551
26,ducklings,0.093837366,0.07777774,heronry,0.113592386,0.10176271,stationery,0.105919376,0.08965527,flock,0.14132752,0.12657864,lab,0.10524958,0.09161013,sugar,0.18423852,0.14019519,caliper,0.16939777,0.13768356,utensil,0.10892826,0.0934018,dish,0.15268874,0.11767933,vase,0.2062227,0.14621904,receiver,0.15804633,0.11330144,snack tray,0.16134796,0.13298273,spatula,0.211091,0.15773785,trashbarrel,0.17701659,0.121603906,fishing map,0.15346937,0.11266962,keg,0.15922286,0.11137746
27,iguana,0.09325799,0.07729754,dolphins,0.11338676,0.101578504,mustelid,0.10367341,0.087754175,stork,0.1395014,0.1249431,fast,0.10477259,0.09119496,pie dish,0.18252113,0.13888834,spider hygrometer,0.16795102,0.13650769,rainforest,0.10875997,0.0932575,beetle wing,0.1521059,0.11723012,balloon basket,0.20529294,0.14555982,display device,0.15737371,0.11281923,cranes,0.16127352,0.13292138,plow blade,0.20988378,0.15683576,plunger,0.17657599,0.12130122,fishing cooler,0.15181974,0.11145855,canister,0.15723345,0.10998584
28,stump,0.09072334,0.07519667,black bill,0.11332947,0.101527184,center knurl,0.10313471,0.087298185,breadcrumbs,0.1384827,0.12403073,flytrap,0.104714386,0.09114431,snack,0.18217619,0.13862588,eraser,0.1669683,0.13570896,squirrel nest,0.108027235,0.09262921,insect,0.15193161,0.11709579,laundry basket,0.20524175,0.14552353,assistive device,0.15730974,0.11277337,swiss cuisine,0.16022587,0.13205789,spoon rest,0.20767903,0.15518826,instrument,0.1764966,0.1212467,upholstery,0.15136525,0.1111249,security camera,0.15716727,0.10993957
29,creek,0.09056528,0.07506566,plumage,0.1119484,0.10028994,tusk,0.10269814,0.08692865,plumage,0.13669361,0.12242836,pepperoni,0.10452315,0.090977855,scoop,0.17549226,0.13353977,spider thermometer,0.16368833,0.13304305,conker,0.10772789,0.09237252,honey dipper,0.14773512,0.1138615,cup,0.20517606,0.14547694,pouch,0.15549763,0.11147429,wading bird,0.15731525,0.12965897,meat slicer,0.20574495,0.153743,drain pan,0.17569709,0.12069747,fishing myth,0.15099739,0.11085483,courtyard,0.15665954,0.109584406
30,vertebrate,0.08960736,0.07427168,cranes,0.11148261,0.099872656,rolling papers,0.10253942,0.08679432,wetland,0.13499215,0.12090445,woofer,0.10360873,0.090181924,hydrocolloid,0.17438218,0.13269506,art tool,0.16097754,0.13083975,bamboo,0.10720012,0.09191998,pasta,0.14758891,0.11374882,bathtub,0.20498605,0.14534223,presentation,0.15513964,0.11121766,shellfish,0.15634884,0.12886246,one-wheeler,0.20284173,0.15157357,dutch oven,0.17331544,0.119061366,fishing,0.1509934,0.11085191,downspout,0.15317181,0.1071447
31,lagomorph,0.08854926,0.073394656,gallinule,0.109422445,0.098027036,owl,0.10173783,0.08611581,chick,0.13462336,0.12057413,acorns,0.103165194,0.08979589,crema,0.17227046,0.13108818,math book,0.1607418,0.13064817,guacamole,0.106997415,0.09174617,cheese plate,0.14743625,0.113631144,juice,0.20463517,0.14509344,technology,0.15082446,0.10812417,ducks,0.15590695,0.12849826,harvester,0.20222902,0.15111573,catcher,0.17218241,0.11828301,lox,0.15050709,0.11049487,drumming lesson,0.1517126,0.106123984
32,rock pile,0.08793433,0.07288498,beak,0.10888474,0.097545326,chocolate,0.101634175,0.086028054,beak,0.13195981,0.118188545,fern,0.1028626,0.08953248,chocolate chips,0.1709033,0.13004783,odometer,0.15986931,0.12993902,fryer,0.106630445,0.09143151,dragonfly egg,0.14647079,0.11288705,sugar container,0.2037946,0.14449744,customer,0.15077436,0.10808824,bird,0.1523575,0.12557282,silverware,0.19828533,0.1481688,cookware,0.17002733,0.11680256,host/hostess stand,0.14873901,0.109196834,ballast tanks,0.15106204,0.10566892
33,broad skull,0.08711617,0.07220684,wings,0.103169054,0.092424855,pen holder,0.101463154,0.085883304,lake,0.1311774,0.11748779,rustling,0.10173927,0.08855474,shaving cream,0.16988435,0.12927248,notebook,0.15732463,0.12787074,pan,0.10579759,0.09071736,scarab,0.14620276,0.112680465,bowl,0.20302531,0.14395198,camera,0.14880644,0.10667746,crust,0.15203175,0.12530431,tractor,0.19814502,0.14806397,slow cooker,0.16833839,0.11564231,fishing license.,0.14587715,0.10709581,bell,0.15052442,0.10529284
34,watering hole,0.08609417,0.071359746,crane,0.10215253,0.09151421,obi (sash),0.10131289,0.08575611,lakes,0.12923303,0.11574635,rocky,0.100893736,0.08781877,mexican cuisine,0.16984825,0.129245,nail plate,0.157156,0.12773368,chipmunk,0.10484259,0.08989848,neuropteran,0.14527246,0.11196348,water-loving,0.20238659,0.14349909,thumb,0.14837512,0.10636826,pie,0.14792825,0.121922225,cleaning caddy,0.19760461,0.14766015,whiplash,0.16581872,0.11391139,smoked fish,0.14530876,0.106678516,wind chime,0.14958306,0.104634345
35,rainforest,0.086091384,0.07135744,flap,0.10061651,0.09013816,label holder,0.100652434,0.08519706,birdseed,0.12828107,0.11489374,conkers,0.10076131,0.08770351,savory dish,0.16920418,0.1287549,label maker,0.15701216,0.12761678,soy sauce,0.10249263,0.08788349,crustacean,0.1429098,0.110142544,red fruit,0.20178378,0.14307171,internet connection,0.14806667,0.10614714,ingredients,0.14785132,0.12185882,cart,0.19760065,0.14765717,hunting horn,0.16533001,0.11357567,table,0.14504689,0.10648626,trashbin,0.14945114,0.10454208
36,bird bath,0.08555038,0.07090903,yellow bill,0.10041856,0.08996083,sewing kit,0.10013514,0.0847592,feathered,0.12194659,0.1092203,reel,0.100001216,0.08704192,melted,0.16885334,0.12848791,chopsticks,0.15680607,0.12744924,sieve-like,0.10244839,0.08784556,measuring spoon,0.14239402,0.10974504,apple,0.20001432,0.1418171,segments,0.1480151,0.10611017,symbols,0.14686662,0.12104721,salt spreader,0.19281867,0.14408384,garden tool,0.16389894,0.11259256,fishing reel,0.14230771,0.10447529,container,0.14888237,0.104144216
37,small mouth,0.0844304,0.069980726,birding guidebook,0.10013489,0.08970669,conservationist,0.099627025,0.08432911,hunting dog,0.12191866,0.10919531,dog,0.09981625,0.086880915,candy bowls,0.16834712,0.12810272,prescription label,0.15637541,0.12709922,coffee scoop,0.1005036,0.086177975,coffee scoop,0.14183989,0.10931795,pitcher,0.19961447,0.14153358,breadcrumbs,0.1472122,0.10553457,hydrocolloid,0.14450009,0.11909673,milk frother,0.19273284,0.14401972,cast iron,0.1630298,0.1119955,backrest,0.14198045,0.10423502,bollards,0.14785312,0.10342425
38,owl,0.08369231,0.06936896,crow,0.09642328,0.08638163,six-pack holder,0.09952828,0.08424555,fluffy chicks,0.11862318,0.10624373,yeast,0.09817524,0.08545258,sweet,0.16830868,0.12807347,test tube,0.15579136,0.12662452,wok,0.10038315,0.08607468,butter dish,0.14091134,0.10860231,china bowls,0.19831374,0.14061134,mailbox key,0.14683303,0.10526277,hornbill,0.14417376,0.11882779,bowl,0.19136383,0.1429967,jar lid,0.16174145,0.11111046,institution,0.14089736,0.10343988,garage,0.14724351,0.10299784
